word,count
the,790
you,687
love,510
i,494
me,432
a,344
to,323
my,300
of,289
in,276
it,260
on,211
and,173
dont,172
your,168
be,141
for,116
all,115
is,114
do,113
baby,104
like,103
im,102
up,97
get,97
heart,92
time,92
with,85
one,85
girl,83
what,83
night,82
its,82
go,79
little,76
that,73
this,73
cant,73
way,72
want,66
just,64
down,64
back,64
let,64
no,63
got,59
we,59
know,57
so,55
take,55
if,55
man,55
good,53
now,53
song,52
never,52
out,52
when,50
over,49
say,49
life,49
world,49
more,47
again,47
how,47
rock,45
come,45
woman,45
from,44
wanna,44
youre,43
are,42
have,42
away,42
tonight,42
make,42
can,41
day,41
dance,40
u,40
will,39
there,39
right,39
blue,38
gonna,37
thing,37
eyes,37
sweet,37
ill,36
too,35
here,34
boy,33
only,32
bad,32
oh,32
hold,31
rain,31
without,31
around,31
why,30
home,30
about,30
tell,30
lady,30
aint,30
give,29
not,29
cry,28
kiss,28
hey,28
were,28
walk,28
gone,27
new,27
angel,27
by,27
at,26
see,26
she,26
turn,26
lonely,26
need,26
girls,25
theme,25
keep,24
mind,24
still,24
long,23
forever,23
fire,23
believe,23
hot,23
thats,23
roll,22
last,22
heaven,22
us,22
where,22
shake,21
live,21
beautiful,21
every,21
happy,21
who,20
been,20
her,20
feel,20
party,20
things,19
dream,19
young,19
mr,19
ive,19
ever,19
lover,19
crazy,19
red,19
off,19
stop,19
miss,19
much,19
music,19
run,19
stay,19
lets,19
lovin,18
wild,18
touch,18
hard,18
best,18
look,18
2,18
an,18
black,18
summer,18
somebody,17
because,17
money,17
o,17
remember,17
think,17
dreams,17
always,17
please,17
white,17
fall,17
name,16
wind,16
people,16
shes,16
rose,16
big,16
loves,16
old,16
magic,16
city,16
high,16
soul,16
la,16
mine,16
two,16
another,16
sugar,15
light,15
better,15
morning,15
free,15
whats,15
stand,15
or,15
everything,15
nights,15
am,15
real,15
fool,15
something,15
true,15
days,15
together,15
kind,14
hands,14
wont,14
loved,14
1,14
everybody,14
ya,14
lose,14
goodbye,14
boogie,14
sun,14
star,14
n,14
was,14
moon,14
help,13
sunshine,13
nothing,13
part,13
head,13
mama,13
arms,13
wait,13
talk,13
first,13
made,13
fly,13
call,13
break,12
road,12
round,12
but,12
some,12
dancing,12
him,12
belong,12
had,12
broken,12
lights,12
change,12
enough,12
wish,12
body,12
than,12
own,12
twist,12
step,12
blues,12
gotta,12
ride,12
green,12
hearts,11
town,11
sky,11
feeling,11
deep,11
really,11
yourself,11
beat,11
roses,11
moment,11
found,11
alone,11
youve,11
da,11
hello,11
waiting,11
easy,11
bit,11
our,11
has,11
comes,11
train,11
wonderful,11
friend,11
born,11
play,11
slow,11
river,11
boys,11
as,11
id,11
these,10
rhythm,10
coming,10
his,10
american,10
nobody,10
through,10
show,10
cold,10
close,10
t,10
loving,10
sexy,10
before,10
house,10
lay,10
wants,10
leave,10
cool,10
must,10
youll,10
try,10
dark,10
after,10
face,10
groove,10
into,10
hand,10
they,9
water,9
done,9
fine,9
california,9
open,9
pt,9
lie,9
would,9
game,9
end,9
smile,9
years,9
4,9
sorry,9
s,9
power,9
secret,9
band,9
goes,9
line,9
crying,9
child,9
put,9
paradise,9
someone,9
anything,8
three,8
mary,8
pretty,8
story,8
move,8
goin,8
looking,8
lost,8
place,8
sleep,8
yellow,8
takes,8
p,8
he,8
higher,8
feels,8
gold,8
almost,8
save,8
living,8
then,8
street,8
brown,8
bird,8
queen,8
door,8
low,8
forget,8
honey,8
wonder,8
myself,8
missing,8
running,8
could,8
wanted,8
miles,8
gimme,8
die,8
melody,8
stone,7
livin,7
thank,7
wake,7
nothin,7
late,7
other,7
whatcha,7
prayer,7
ways,7
summertime,7
sea,7
soon,7
work,7
walking,7
yours,7
times,7
knock,7
god,7
shout,7
em,7
fallin,7
today,7
breath,7
foolish,7
lovers,7
next,7
sixteen,7
sing,7
whole,7
mountain,7
bells,7
funky,7
room,7
falling,7
didnt,7
until,7
proud,7
candy,7
ready,7
alive,7
hero,7
same,7
number,7
whos,7
find,7
going,7
bring,7
catch,6
boat,6
theres,6
golden,6
ii,6
said,6
moonlight,6
songs,6
makes,6
knew,6
mean,6
should,6
america,6
thang,6
sad,6
side,6
most,6
inside,6
ring,6
jungle,6
five,6
tear,6
independent,6
mercy,6
dear,6
lean,6
cried,6
affair,6
stars,6
hill,6
diamonds,6
breaking,6
games,6
heard,6
dead,6
midnight,6
did,6
dirty,6
devil,6
school,6
reason,6
til,6
rainy,6
wit,6
ballad,6
friends,6
hell,6
alright,6
cherry,6
wrong,6
fight,6
came,6
tears,6
rockin,6
um,6
each,6
gypsy,6
smoke,6
control,6
care,6
worry,6
promise,6
hotel,6
bye,5
wedding,5
valley,5
stuck,5
3,5
beg,5
birthday,5
garden,5
park,5
sentimental,5
shine,5
guy,5
started,5
family,5
g,5
medley,5
walkin,5
blame,5
monday,5
papa,5
indian,5
lonesome,5
fun,5
nite,5
ball,5
fever,5
bump,5
king,5
hear,5
air,5
c,5
blow,5
wine,5
those,5
set,5
saw,5
babe,5
hurts,5
ole,5
hurt,5
someday,5
somethin,5
runaway,5
jump,5
drive,5
ooh,5
jack,5
women,5
na,5
used,5
cruel,5
hate,5
orleans,5
bang,5
yes,5
dancer,5
wings,5
pieces,5
pop,5
happen,5
shoes,5
pink,5
anniversary,5
letter,5
near,5
well,5
remind,5
symphony,5
sealed,5
told,5
anthem,5
7,5
closer,5
horse,5
daddy,5
tender,5
fools,5
use,5
walls,5
stranger,5
funny,5
burning,5
disco,5
st,5
lately,5
doll,5
makin,5
ruby,5
bridge,5
hang,5
hes,5
lamplighter,5
outta,5
does,5
country,5
teen,5
ghetto,5
georgia,5
shoop,5
burnin,5
seasons,5
rolling,5
style,4
dog,4
giving,4
desire,4
somewhere,4
once,4
strong,4
learn,4
hit,4
wide,4
eye,4
sue,4
beauty,4
poor,4
ron,4
earth,4
island,4
drunk,4
problems,4
cradle,4
words,4
peg,4
west,4
satisfied,4
crush,4
soldier,4
corner,4
september,4
